antecedent,consequent,support,confidence,lift
39 3905,40,268,0.8048,1.4002
33 37 42,49,89,0.6692,1.4002
2631,49,91,0.6691,1.4000
40 6119,49,91,0.6691,1.4000
40 1021,49,190,0.6690,1.3998
40 1596,49,99,0.6689,1.3996
33 40 124,49,101,0.6689,1.3995
40 1436,49,307,0.6688,1.3995
42 1328,49,307,0.6688,1.3995
171 238,49,103,0.6688,1.3994
42 49 791,40,111,0.8043,1.3994
40 42 3617,49,105,0.6688,1.3994
49 169,40,152,0.8042,1.3992
771,49,111,0.6687,1.3991
40 980,49,222,0.6687,1.3991
40 1694,49,232,0.6686,1.3989
40 544,49,117,0.6686,1.3989
2801,49,121,0.6685,1.3988
40 1940,49,121,0.6685,1.3988
40 10447,49,246,0.6685,1.3987
42 523,49,143,0.6682,1.3982
40 2389,49,149,0.6682,1.3980
49 194,40,102,0.8031,1.3973
39 1987,40,114,0.8028,1.3967
37 66,40,122,0.8026,1.3964
33 42 49 66,40,122,0.8026,1.3964
49 8979,40,276,0.8023,1.3958
42 49 50,40,142,0.8023,1.3957
42 545,40,158,0.8020,1.3953
39 1480,40,89,0.8018,1.3949
40 1276,49,94,0.6667,1.3949
40 2421,49,108,0.6667,1.3949
40 206,49,106,0.6667,1.3949
40 96,49,126,0.6667,1.3949
40 5153,49,126,0.6667,1.3949
1639,49,226,0.6667,1.3949
42 1122,49,92,0.6667,1.3949
40 2400,49,194,0.6667,1.3949
42 375,49,104,0.6667,1.3949
40 4337,49,230,0.6667,1.3949
33 12930,49,114,0.6667,1.3949
40 704,49,302,0.6667,1.3949
20 39,49,94,0.6667,1.3949
39 42 57,40,93,0.8017,1.3948
49 446,40,97,0.8017,1.3947
42 252,40,101,0.8016,1.3946
49 1073,40,109,0.8015,1.3944
39 49 549,40,113,0.8014,1.3943
49 66 226,40,113,0.8014,1.3943
42 66,49,663,0.6663,1.3942
915,40,117,0.8014,1.3942
39 14099,40,145,0.8011,1.3937
42 1716,40,149,0.8011,1.3937
42 784,40,161,0.8010,1.3935
39 40 66,49,325,0.6660,1.3935
40 2081,49,187,0.6655,1.3924
42 80,49,332,0.6653,1.3921
1474,40,108,0.8000,1.3918
49 1593,40,96,0.8000,1.3918
49 435,40,96,0.8000,1.3918
49 584,40,108,0.8000,1.3918
49 698,40,132,0.8000,1.3918
42 847,40,144,0.8000,1.3918
42 106,40,120,0.8000,1.3918
42 49 465,40,108,0.8000,1.3918
19 39,40,104,0.8000,1.3918
42 162,40,168,0.8000,1.3918
42 49 186,40,168,0.8000,1.3918
226 271,40,236,0.8000,1.3918
42 49 102,40,264,0.8000,1.3918
2789,49,143,0.6651,1.3917
40 42 1147,49,260,0.6650,1.3913
716,49,254,0.6649,1.3913
40 375,49,250,0.6649,1.3912
49 372,40,295,0.7995,1.3909
2123,49,111,0.6647,1.3907
230,49,545,0.6646,1.3907
40 42 590,49,105,0.6646,1.3905
33 42 171,49,105,0.6646,1.3905
33 489,49,103,0.6645,1.3904
33 39 42 171,49,103,0.6645,1.3904
40 2664,49,99,0.6644,1.3902
40 613,49,99,0.6644,1.3902
2599,49,97,0.6644,1.3901
5730,49,192,0.6644,1.3901
42 238,40,477,0.7990,1.3901
40 4210,49,95,0.6643,1.3900
40 433,49,190,0.6643,1.3900
40 5783,49,91,0.6642,1.3898
40 545,49,348,0.6641,1.3896
39 784,40,123,0.7987,1.3895
49 1105,40,119,0.7987,1.3895
49 1742,40,107,0.7985,1.3892
49 1189,40,107,0.7985,1.3892
2330,49,324,0.6639,1.3892
49 712,40,99,0.7984,1.3890
42 57,40,95,0.7983,1.3889
39 102,49,229,0.6638,1.3888
33 42 2239,40,91,0.7982,1.3888
39 49 414,40,170,0.7981,1.3885
39 1394,40,162,0.7980,1.3884
39 61,40,154,0.7979,1.3882
33 42 49,40,1646,0.7979,1.3881
1053,49,266,0.6633,1.3880
42 49 339,40,138,0.7977,1.3878
42 49 118,40,134,0.7976,1.3877
5652,49,126,0.6632,1.3876
42 13042,40,311,0.7974,1.3873
42 977,49,122,0.6630,1.3873
290,49,120,0.6630,1.3872
10606,49,179,0.6630,1.3872
49 2114,40,118,0.7973,1.3871
40 5249,49,116,0.6629,1.3869
33 3271,49,116,0.6629,1.3869
42 95,40,114,0.7972,1.3869
42 16218,49,287,0.6628,1.3869
33 1345,49,114,0.6628,1.3868
37 39 226,40,110,0.7971,1.3868
49 157,40,377,0.7970,1.3867
33 37 42,40,106,0.7970,1.3866
1538,40,157,0.7970,1.3865
33 37 39 42,40,102,0.7969,1.3864
40 8868,49,108,0.6626,1.3864
33 414,49,216,0.6626,1.3864
40 3463,49,104,0.6624,1.3860
42 813,49,104,0.6624,1.3860
49 1316,40,94,0.7966,1.3859
49 1482,40,188,0.7966,1.3859
40 551,49,102,0.6623,1.3859
40 42 480,49,102,0.6623,1.3859
33 1394,49,153,0.6623,1.3859
39 49 66,40,325,0.7966,1.3858
42 372,40,137,0.7965,1.3857
42 582,40,90,0.7965,1.3856
33 1068,49,98,0.6622,1.3855
42 1987,49,98,0.6622,1.3855
33 40 1147,49,143,0.6620,1.3852
713,49,94,0.6620,1.3851
66 226,49,141,0.6620,1.3851
49 311,40,1347,0.7961,1.3850
42 49 2959,40,160,0.7960,1.3849
2853,49,92,0.6619,1.3849
42 66,40,792,0.7960,1.3848
33 39 48,40,117,0.7959,1.3847
40 3295,49,131,0.6616,1.3843
40 442,49,260,0.6616,1.3843
916,40,109,0.7956,1.3842
40 302,49,473,0.6615,1.3842
42 108,40,140,0.7955,1.3839
42 704,40,105,0.7955,1.3839
768,49,164,0.6613,1.3837
49 806,40,136,0.7953,1.3837
39 42 372,40,136,0.7953,1.3837
49 8069,40,132,0.7952,1.3834
2709,49,119,0.6611,1.3833
42 1988,40,97,0.7951,1.3832
39 280,40,97,0.7951,1.3832
42 16012,40,194,0.7951,1.3832
39 605,40,155,0.7949,1.3829
42 371,40,89,0.7946,1.3825
40 3636,49,111,0.6607,1.3825
66 272,49,111,0.6607,1.3825
728,49,253,0.6606,1.3822
42 49 414,40,228,0.7944,1.3821
42 1199,40,170,0.7944,1.3820
3773,49,107,0.6605,1.3820
40 2600,49,107,0.6605,1.3820
3965,49,214,0.6605,1.3820
39 180,49,107,0.6605,1.3820
1017,49,140,0.6604,1.3818
37 39 49,40,1080,0.7941,1.3816
40 221,49,103,0.6603,1.3815
42 682,49,103,0.6603,1.3815
39 40 791,49,235,0.6601,1.3812
40 1716,49,235,0.6601,1.3812
40 698,49,132,0.6600,1.3810
24 40 42,49,99,0.6600,1.3810
40 434,49,130,0.6599,1.3808
358,49,97,0.6599,1.3807
40 857,49,192,0.6598,1.3805
49 268,40,292,0.7935,1.3805
4283,49,95,0.6597,1.3804
40 8731,49,93,0.6596,1.3801
39 40 42 56,49,93,0.6596,1.3801
33 335,49,93,0.6596,1.3801
33 38 39,49,122,0.6595,1.3798
39 42 16011,40,92,0.7931,1.3798
2364,49,91,0.6594,1.3798
40 10612,49,91,0.6594,1.3798
4343,49,120,0.6593,1.3796
19 42,40,157,0.7929,1.3795
40 1391,49,89,0.6593,1.3794
4686,49,178,0.6593,1.3794
226 271 272,40,111,0.7929,1.3794
49 90 171,40,111,0.7929,1.3794
39 49 90 171,40,111,0.7929,1.3794
1167,49,118,0.6592,1.3793
40 650,49,350,0.6591,1.3792
39 40 2239,49,203,0.6591,1.3791
42 77,40,172,0.7926,1.3790
49 2600,40,107,0.7926,1.3789
42 230,40,149,0.7926,1.3788
476,49,1428,0.6590,1.3788
445,49,114,0.6590,1.3788
1028,49,228,0.6590,1.3788
2988,49,284,0.6589,1.3787
1790,49,141,0.6589,1.3786
40 1558,49,166,0.6587,1.3783
39 49 1189,40,99,0.7920,1.3779
33 48,40,118,0.7919,1.3778
40 118 977,49,106,0.6584,1.3776
829,49,131,0.6583,1.3774
42 879,40,114,0.7917,1.3773
40 81,49,208,0.6582,1.3773
40 813,49,310,0.6582,1.3771
40 335,49,333,0.6581,1.3770
1233,49,179,0.6581,1.3770
40 761,49,102,0.6581,1.3769
40 4525,49,127,0.6580,1.3768
39 40 80,49,152,0.6580,1.3768
42 49 341,40,91,0.7913,1.3767
42 741,40,163,0.7913,1.3766
40 3511,49,148,0.6578,1.3763
49 52,40,106,0.7910,1.3762
33 49 15833,40,106,0.7910,1.3762
40 758,49,121,0.6576,1.3760
40 5075,49,121,0.6576,1.3760
49 714,40,102,0.7907,1.3756
39 523,40,102,0.7907,1.3756
4732,49,94,0.6573,1.3754
33 40 42 226,49,117,0.6573,1.3753
39 49 102,40,181,0.7904,1.3751
49 1514,40,196,0.7903,1.3750
39 49 106,40,290,0.7902,1.3747
2809,49,90,0.6569,1.3745
33 8979,49,90,0.6569,1.3745
40 1617,49,111,0.6568,1.3743
42 49 353,40,94,0.7899,1.3743
33 49 784,40,94,0.7899,1.3743
2857,49,176,0.6567,1.3741
39 49 50,40,139,0.7898,1.3740
10442,49,109,0.6566,1.3739
40 791,49,239,0.6566,1.3738
33 550,49,130,0.6566,1.3738
42 1005,49,130,0.6566,1.3738
39 1328,40,274,0.7896,1.3738
3293,49,151,0.6565,1.3737
33 39 226,49,107,0.6564,1.3735
33 49 12930,40,90,0.7895,1.3735
1997,49,149,0.6564,1.3734
1504,49,105,0.6562,1.3731
10 40,49,546,0.6562,1.3731
40 2354,49,166,0.6561,1.3729
49 4345,40,101,0.7891,1.3728
33 49 287,40,101,0.7891,1.3728
1878,49,103,0.6561,1.3727
42 49 825,40,172,0.7890,1.3726
10944,49,204,0.6559,1.3725
33 38,49,122,0.6559,1.3724
40 523,49,425,0.6559,1.3723
176 226,40,112,0.7887,1.3722
49 179,40,194,0.7886,1.3720
559,49,139,0.6557,1.3719
33 49 61,40,123,0.7885,1.3717
10482,49,118,0.6556,1.3717
1815,49,451,0.6555,1.3716
40 7206,49,137,0.6555,1.3716
39 148,49,215,0.6555,1.3715
48 49,40,216,0.7883,1.3715
42 914,40,108,0.7883,1.3715
39 49 287,40,458,0.7883,1.3714
49 719,40,134,0.7882,1.3713
400,49,154,0.6553,1.3712
49 8731,40,93,0.7881,1.3712
37 49,40,1116,0.7881,1.3712
39 48 49,40,212,0.7881,1.3711
42 16011,40,368,0.7880,1.3709
40 42 56,49,95,0.6552,1.3709
40 233,49,131,0.6550,1.3705
33 977,49,93,0.6549,1.3704
49 975,40,89,0.7876,1.3702
2114,49,148,0.6549,1.3702
40 1931,49,148,0.6549,1.3702
39 49 80,40,152,0.7876,1.3702
49 1544,40,189,0.7875,1.3701
42 49 3271,40,126,0.7875,1.3701
33 39 49 287,40,100,0.7874,1.3699
39 49 339,40,100,0.7874,1.3699
86,49,127,0.6546,1.3697
33 40 148,49,163,0.6546,1.3697
49 3828,40,148,0.7872,1.3696
33 49 90,40,451,0.7871,1.3693
247,49,265,0.6543,1.3691
2855,49,104,0.6541,1.3686
40 42 238,49,312,0.6541,1.3686
799,49,329,0.6541,1.3686
1250,49,155,0.6540,1.3684
49 904,40,151,0.7865,1.3682
39 49 56,40,243,0.7864,1.3682
1678,49,306,0.6538,1.3681
49 3203,40,92,0.7863,1.3680
42 799,40,92,0.7863,1.3680
49 709,40,114,0.7862,1.3678
40 1122,49,168,0.6537,1.3678
42 49 272,40,272,0.7861,1.3677
49 843,40,158,0.7861,1.3676
49 571,40,404,0.7860,1.3674
40 1005,49,381,0.6535,1.3674
1528,49,149,0.6535,1.3674
40 8069,49,132,0.6535,1.3673
33 39 40 171,49,213,0.6534,1.3671
40 1745,49,98,0.6533,1.3670
40 2213,49,98,0.6533,1.3670
49 172,40,110,0.7857,1.3669
49 391,40,165,0.7857,1.3669
49 54,40,253,0.7857,1.3669
42 209,40,165,0.7857,1.3669
39 273,40,99,0.7857,1.3669
12 39,40,99,0.7857,1.3669
42 49 77,40,121,0.7857,1.3669
171 238,40,121,0.7857,1.3669
39 226,40,535,0.7856,1.3668
4772,49,113,0.6532,1.3667
1679,49,145,0.6532,1.3666
42 271,40,399,0.7854,1.3665
33 40 590,49,96,0.6531,1.3664
37 39 66,49,96,0.6531,1.3664
3809,49,143,0.6530,1.3663
849,49,111,0.6529,1.3662
39 49 2959,40,128,0.7853,1.3662
33 49 593,40,128,0.7853,1.3662
9580,49,190,0.6529,1.3662
49 1528,40,117,0.7852,1.3661
3858,40,106,0.7852,1.3660
40 1011,49,126,0.6528,1.3660
33 49 311,40,307,0.7852,1.3660
49 2506,40,201,0.7852,1.3660
39 49 259,40,95,0.7851,1.3659
49 287,40,464,0.7851,1.3659
42 523,40,168,0.7850,1.3658
1181,49,109,0.6527,1.3657
33 40 1005,49,109,0.6527,1.3657
40 148,49,742,0.6526,1.3655
39 40 42,49,1991,0.6526,1.3654
40 850,49,92,0.6525,1.3652
40 2076,49,137,0.6524,1.3650
40 1480,49,197,0.6523,1.3649
42 1145,40,91,0.7845,1.3648
311,49,1692,0.6523,1.3648
40 77,49,345,0.6522,1.3646
33 202,49,120,0.6522,1.3646
49 1027,40,109,0.7842,1.3643
40 1544,49,189,0.6517,1.3636
39 2959,40,145,0.7838,1.3636
39 42 287,40,203,0.7838,1.3636
39 593,40,145,0.7838,1.3636
2494,49,116,0.6517,1.3636
39 157,49,116,0.6517,1.3636
40 682,49,275,0.6517,1.3635
40 2047,49,217,0.6517,1.3635
39 476,40,308,0.7837,1.3635
2351,49,159,0.6516,1.3635
272 2239,40,221,0.7837,1.3634
33 265,49,101,0.6516,1.3634
42 810,40,105,0.7836,1.3632
42 665,40,105,0.7836,1.3632
33 49 957,40,105,0.7836,1.3632
32 42 49,40,105,0.7836,1.3632
10 39,49,129,0.6515,1.3632
259,49,643,0.6515,1.3631
42 911,40,94,0.7833,1.3628
39 1601,40,94,0.7833,1.3628
90 534,40,94,0.7833,1.3628
40 2529,49,99,0.6513,1.3628
40 105,49,99,0.6513,1.3628
39 605,49,127,0.6513,1.3627
12,49,463,0.6512,1.3625
4308,49,168,0.6512,1.3625
42 49 678,40,130,0.7831,1.3625
1518,49,125,0.6510,1.3622
40 1396,49,97,0.6510,1.3621
39 42,40,3051,0.7829,1.3621
39 171 238,40,119,0.7829,1.3620
40 3905,49,179,0.6509,1.3619
2409,49,110,0.6509,1.3619
42 2239,49,371,0.6509,1.3619
49 80,40,699,0.7828,1.3618
226 2239,40,317,0.7827,1.3617
925,49,164,0.6508,1.3617
2052,49,300,0.6508,1.3616
49 9670,40,108,0.7826,1.3615
32 42,40,162,0.7826,1.3615
40 598,49,136,0.6507,1.3615
53,49,326,0.6507,1.3615
40 117,49,108,0.6506,1.3613
39 12926,40,230,0.7823,1.3610
226 272,40,309,0.7823,1.3610
33 439,49,227,0.6504,1.3609
49 106,40,291,0.7823,1.3609
40 13190,49,173,0.6504,1.3608
40 2729,49,93,0.6503,1.3608
193,49,106,0.6503,1.3607
40 1081,49,119,0.6503,1.3606
3405,49,158,0.6502,1.3605
42 50,40,172,0.7818,1.3602
2560,49,91,0.6500,1.3600
2831,49,104,0.6500,1.3600
756,49,130,0.6500,1.3600
39 49 391,40,154,0.7817,1.3600
40 2493,49,141,0.6498,1.3596
33 42 272,40,118,0.7815,1.3595
790,49,421,0.6497,1.3594
10652,49,102,0.6497,1.3594
40 2053,49,89,0.6496,1.3593
33 911,49,89,0.6496,1.3593
49 9002,40,100,0.7812,1.3592
31 42,40,100,0.7812,1.3592
42 157,40,125,0.7812,1.3592
2119,49,341,0.6495,1.3590
33 259,49,126,0.6495,1.3590
2054,49,176,0.6494,1.3589
39 1147,40,239,0.7810,1.3588
42 280,49,100,0.6494,1.3587
39 157,40,139,0.7809,1.3586
42 390,49,124,0.6492,1.3584
49 758,40,121,0.7806,1.3581
459,49,98,0.6490,1.3580
571,49,514,0.6490,1.3579
42 1147,40,391,0.7804,1.3578
1586,49,292,0.6489,1.3577
42 767,40,135,0.7803,1.3576
40 1027,49,109,0.6488,1.3575
1787,40,206,0.7803,1.3575
49 3800,40,206,0.7803,1.3575
90 238,40,181,0.7802,1.3573
62,40,110,0.7801,1.3573
49 1594,40,117,0.7800,1.3570
40 939,49,107,0.6485,1.3569
37 238,40,124,0.7799,1.3568
40 42 61,49,142,0.6484,1.3567
33 49 439,40,177,0.7797,1.3565
40 226 271,49,153,0.6483,1.3565
39 40 272,49,188,0.6483,1.3564
39 977,40,92,0.7797,1.3564
49 2664,40,99,0.7795,1.3562
39 682,40,99,0.7795,1.3562
592,49,280,0.6481,1.3562
32 40 42,49,105,0.6481,1.3562
40 3318,49,116,0.6480,1.3559
78,49,162,0.6480,1.3559
40 157,49,377,0.6478,1.3554
5290,49,114,0.6477,1.3553
49 413,40,141,0.7790,1.3553
40 1601,49,307,0.6477,1.3552
39 61,49,125,0.6477,1.3552
33 40 171,49,215,0.6476,1.3550
40 2285,49,226,0.6476,1.3549
42 2959,40,169,0.7788,1.3549
38 49,40,440,0.7788,1.3549
1258,49,248,0.6475,1.3549
42 1240,40,95,0.7787,1.3547
40 1345,49,314,0.6474,1.3546
42 49 480,40,102,0.7786,1.3546
2515,49,112,0.6474,1.3546
32 42,49,134,0.6473,1.3545
40 97,49,145,0.6473,1.3544
10 42,40,239,0.7785,1.3544
10421,49,178,0.6473,1.3543
33 49 2239,40,158,0.7783,1.3541
33 42 66,40,172,0.7783,1.3540
49 1258,40,193,0.7782,1.3539
49 2136,40,228,0.7782,1.3538
49 676,40,291,0.7781,1.3537
40 2066,49,152,0.6468,1.3534
40 4651,49,119,0.6467,1.3532
796 1820,49,108,0.6467,1.3531
49 2747,40,112,0.7778,1.3531
49 96,40,126,0.7778,1.3531
42 247,40,91,0.7778,1.3531
42 385,40,112,0.7778,1.3531
33 49 256,40,189,0.7778,1.3531
1397,49,97,0.6467,1.3531
40 12952,49,183,0.6466,1.3530
40 42 271,49,258,0.6466,1.3530
49 810,40,290,0.7775,1.3526
38 39 49,40,433,0.7774,1.3524
39 49 439,40,164,0.7773,1.3522
641,49,232,0.6462,1.3522
49 236,40,143,0.7772,1.3521
1643,49,126,0.6462,1.3520
37 39 238,40,122,0.7771,1.3519
49 1530,40,108,0.7770,1.3518
39 270,40,108,0.7770,1.3518
1819,49,146,0.6460,1.3517
40 42 226,49,469,0.6460,1.3517
1004,49,250,0.6460,1.3517
49 2379,40,101,0.7769,1.3517
42 49 1005,40,101,0.7769,1.3517
49 176,40,383,0.7769,1.3516
49 3172,40,94,0.7769,1.3515
39 40 106,49,290,0.6459,1.3514
49 731,40,167,0.7767,1.3513
65,49,124,0.6458,1.3513
40 654,49,124,0.6458,1.3513
49 790,40,327,0.7767,1.3513
40 46,49,361,0.6458,1.3512
4311,49,113,0.6457,1.3511
2104,49,153,0.6456,1.3508
39 40 3905,49,173,0.6455,1.3507
33 42,49,2063,0.6455,1.3506
40 13042,49,444,0.6453,1.3503
40 42,49,7366,0.6453,1.3503
49 1346,40,104,0.7761,1.3503
42 4337,40,104,0.7761,1.3503
42 287,40,208,0.7761,1.3503
42 480,49,131,0.6453,1.3502
39 40 42 287,49,131,0.6453,1.3502
683,49,191,0.6453,1.3501
39 49 1530,40,97,0.7760,1.3500
39 311,40,336,0.7760,1.3500
42 49 202,40,142,0.7760,1.3500
40 3103,49,100,0.6452,1.3499
40 1784,49,240,0.6452,1.3499
33 77,49,100,0.6452,1.3499
42 426,40,90,0.7759,1.3498
76,49,209,0.6451,1.3497
169,49,189,0.6451,1.3497
49 1603,40,128,0.7758,1.3496
39 49 171,40,1193,0.7757,1.3495
251,49,178,0.6449,1.3494
49 985,40,159,0.7756,1.3494
134,49,158,0.6449,1.3494
346,49,316,0.6449,1.3494
40 238,49,1244,0.6449,1.3494
42 593,40,235,0.7756,1.3493
49 1061,40,114,0.7755,1.3492
40 66,49,1797,0.6448,1.3491
347,49,216,0.6448,1.3491
49 235,40,107,0.7754,1.3489
2481,49,127,0.6447,1.3489
40 933,49,107,0.6446,1.3487
42 171,40,624,0.7752,1.3486
39 90 171,40,131,0.7751,1.3486
42 397,49,116,0.6444,1.3484
49 4343,40,93,0.7750,1.3483
42 2384,40,93,0.7750,1.3483
49 406 10516,40,124,0.7750,1.3483
40 3617,49,270,0.6444,1.3483
49 917,40,241,0.7749,1.3482
39 271 272,49,96,0.6443,1.3481
49 66 238,40,117,0.7748,1.3480
40 42 287,49,134,0.6442,1.3480
49 927,40,110,0.7746,1.3477
49 171,40,1206,0.7746,1.3476
40 16012,49,275,0.6440,1.3475
39 42 171,40,615,0.7746,1.3475
39 42 238,49,132,0.6439,1.3473
49 2793,40,175,0.7743,1.3472
2012,49,141,0.6438,1.3471
2389,40,223,0.7743,1.3471
216,49,206,0.6438,1.3470
49 1343,40,96,0.7742,1.3469
49 640,40,96,0.7742,1.3469
427,49,327,0.6437,1.3469
4946,49,177,0.6436,1.3467
24 49,40,322,0.7740,1.3466
49 2285,40,226,0.7740,1.3465
40 1873,49,213,0.6435,1.3464
42 1345,49,166,0.6434,1.3463
5652,40,147,0.7737,1.3460
42 16218,40,335,0.7737,1.3460
49 14099,40,540,0.7736,1.3459
49 2169,40,205,0.7736,1.3458
1565,49,182,0.6431,1.3456
3777,49,90,0.6429,1.3451
3841,49,108,0.6429,1.3451
40 3536,49,90,0.6429,1.3451
40 3322,49,99,0.6429,1.3451
40 190,49,99,0.6429,1.3451
2345,49,180,0.6429,1.3451
108 962,49,90,0.6429,1.3451
42 260,49,99,0.6429,1.3451
33 450,49,99,0.6429,1.3451
33 813,49,117,0.6429,1.3451
549 550,49,99,0.6429,1.3451
33 42 271,49,90,0.6429,1.3451
42 2674,40,92,0.7731,1.3450
42 102,40,368,0.7731,1.3450
49 2441,40,143,0.7730,1.3448
40 1394,49,507,0.6426,1.3445
42 280,40,119,0.7727,1.3444
42 807,40,136,0.7727,1.3444
10 39,40,153,0.7727,1.3444
226 1147,40,102,0.7727,1.3444
40 450,49,239,0.6425,1.3443
33 39 42,40,622,0.7727,1.3443
40 3013,49,106,0.6424,1.3442
535,49,203,0.6424,1.3441
7,49,97,0.6424,1.3441
40 2371,49,97,0.6424,1.3441
49 56,40,251,0.7723,1.3436
42 272,40,451,0.7723,1.3435
40 12983,49,122,0.6421,1.3435
42 406,40,122,0.7722,1.3434
33 42 171,40,122,0.7722,1.3434
40 16011 16012,49,269,0.6420,1.3433
49 2354,40,166,0.7721,1.3433
4941,49,147,0.6419,1.3431
40 2844,49,95,0.6419,1.3431
90 171,40,132,0.7719,1.3430
39 124,49,129,0.6418,1.3429
238 311,49,129,0.6418,1.3429
1146,40,115,0.7718,1.3428
42 176,49,188,0.6416,1.3425
39 678,49,111,0.6416,1.3425
39 957,40,125,0.7716,1.3424
2200,49,383,0.6415,1.3423
2815,49,93,0.6414,1.3420
39 148,40,253,0.7713,1.3419
4361,49,118,0.6413,1.3418
49 988,40,118,0.7712,1.3418
42 408,40,118,0.7712,1.3418
42 5730,40,91,0.7712,1.3417
33 957,49,134,0.6411,1.3415
39 90,40,589,0.7709,1.3412
49 4631,40,111,0.7708,1.3411
49 415,40,111,0.7708,1.3411
42 2185,40,111,0.7708,1.3411
1185,49,116,0.6409,1.3410
229,49,116,0.6409,1.3410
40 3280,49,116,0.6409,1.3410
40 210,49,207,0.6409,1.3409
39 49 265,40,121,0.7707,1.3408
168,49,164,0.6406,1.3404
40 14934,49,205,0.6406,1.3404
42 550,40,151,0.7704,1.3403
3346,49,98,0.6405,1.3402
1806,49,114,0.6404,1.3401
40 709,49,114,0.6404,1.3401
40 10552,49,114,0.6404,1.3401
40 2636,49,114,0.6404,1.3401
33 42 1147,49,89,0.6403,1.3397
40 2426,49,105,0.6402,1.3396
49 1967,40,117,0.7697,1.3392
42 450,49,96,0.6400,1.3391
39 42 1328,49,96,0.6400,1.3391
49 271 272,40,284,0.7696,1.3390
42 3617,40,157,0.7696,1.3389
39 250,40,207,0.7695,1.3388
49 2999,40,130,0.7692,1.3383
49 3103,40,100,0.7692,1.3383
49 926,40,120,0.7692,1.3383
42 682,40,120,0.7692,1.3383
40 809,49,181,0.6396,1.3382
40 106,49,291,0.6396,1.3382
49 256,40,813,0.7692,1.3381
40 391,49,165,0.6395,1.3381
42 104,49,110,0.6395,1.3381
40 15579,49,149,0.6395,1.3380
33 40 226,49,298,0.6395,1.3380
1680,49,94,0.6395,1.3380
1612,49,94,0.6395,1.3380
39 12930,49,94,0.6395,1.3380
321,49,195,0.6393,1.3377
42 148,49,280,0.6393,1.3376
66 148,49,101,0.6392,1.3375
49 1283,40,133,0.7688,1.3375
40 1987,49,264,0.6392,1.3375
49 214,40,123,0.7688,1.3374
42 2200,40,113,0.7687,1.3374
42 773,40,113,0.7687,1.3374
1013,49,147,0.6391,1.3373
39 40 12926,49,147,0.6391,1.3373
33 238,49,363,0.6391,1.3372
79 90,40,93,0.7686,1.3372
39 40 391,49,154,0.6390,1.3370
685,49,177,0.6390,1.3370
40 4884,49,200,0.6390,1.3370
33 40,49,5402,0.6389,1.3368
40 9844,49,92,0.6389,1.3368
42 385,49,92,0.6389,1.3368
42 879,49,92,0.6389,1.3368
40 948,49,207,0.6389,1.3368
49 1147,40,623,0.7682,1.3365
39 49,40,6102,0.7681,1.3364
42 1122,40,106,0.7681,1.3363
42 414,40,318,0.7681,1.3363
461,49,106,0.6386,1.3361
49 2168,40,139,0.7680,1.3361
10445,49,302,0.6385,1.3359
33 49 50,40,129,0.7679,1.3359
39 50,40,172,0.7679,1.3359
33 39 42 171,40,119,0.7677,1.3357
12694,49,90,0.6383,1.3356
1487,49,270,0.6383,1.3356
49 81,40,208,0.7675,1.3353
92,49,97,0.6382,1.3353
37 66,49,97,0.6382,1.3353
40 16011,49,529,0.6381,1.3352
39 49 1136,40,99,0.7674,1.3352
171 226,40,99,0.7674,1.3352
39 171 226,40,99,0.7674,1.3352
49 170,40,122,0.7673,1.3349
39 42 111,40,511,0.7673,1.3349
39 49 104,40,89,0.7672,1.3348
1216,49,111,0.6379,1.3348
40 1900,49,111,0.6379,1.3348
42 148,40,336,0.7671,1.3346
1314,49,250,0.6378,1.3344
49 216,40,158,0.7670,1.3344
1002,49,183,0.6376,1.3342
40 397,49,278,0.6376,1.3341
40 11841,49,95,0.6376,1.3341
1671,49,102,0.6375,1.3339
40 8979,49,276,0.6374,1.3337
1997,40,174,0.7665,1.3336
413,49,181,0.6373,1.3335
49 3503,40,164,0.7664,1.3333
42 2438,40,118,0.7662,1.3331
490,49,165,0.6371,1.3330
33 42 111,40,95,0.7661,1.3329
39 108,40,108,0.7660,1.3326
49 271,40,733,0.7659,1.3325
49 137,40,219,0.7657,1.3322
33 186,49,184,0.6367,1.3322
49 1745,40,98,0.7656,1.3320
49 76,40,160,0.7656,1.3319
39 49 791,40,235,0.7655,1.3317
39 180,40,124,0.7654,1.3317
49 66 90,40,186,0.7654,1.3317
49 390,40,323,0.7654,1.3316
2085,49,105,0.6364,1.3315
2655,49,112,0.6364,1.3315
40 2635,49,91,0.6364,1.3315
1787,49,168,0.6364,1.3315
40 10449,49,98,0.6364,1.3315
40 1159,49,154,0.6364,1.3315
42 118,49,168,0.6364,1.3315
39 40 42 226,49,126,0.6364,1.3315
66 256,40,101,0.7652,1.3312
1974,49,236,0.6361,1.3310
40 16218,49,463,0.6360,1.3307
49 665,40,296,0.7649,1.3307
42 15833,40,322,0.7648,1.3306
42 590,49,138,0.6359,1.3306
40 1967,49,117,0.6359,1.3305
19 33,49,117,0.6359,1.3305
49 10612,40,91,0.7647,1.3304
42 2169,40,117,0.7647,1.3304
42 380,40,104,0.7647,1.3304
49 476,40,1092,0.7647,1.3304
2080,49,96,0.6358,1.3302
10185,49,89,0.6357,1.3301
49 427,40,250,0.7645,1.3301
33 66,49,492,0.6357,1.3300
1161,49,157,0.6356,1.3300
2136,49,293,0.6356,1.3299
1965,49,143,0.6356,1.3298
42 813,40,120,0.7643,1.3297
